RES,POW,TotalFlow
1001113,1001113,80
1001113,1001519,30
1001131,1001519,20
1001169,1001178,35
1001174,1001178,50
1001203,1001298,30
1001203,1001519,35
1001228,1001228,25
1001289,1001289,35
1001304,1001298,80
1001304,1001304,295
1001304,1001370,45
1001304,1001409,25
1001304,1001519,105
1001321,1001335,25
1001321,1001519,20
1001332,1001332,50
1001339,1001343,170
1001339,1001370,75
1001339,1001519,25
1001339,1007013,20
1001343,1001343,100
1001352,1001343,40
1001361,1001370,105
1001370,1001370,880
1001370,1001409,55
1001370,1001519,95
1001379,1001370,310
1001379,1001396,20
1001379,1001409,50
1001379,1001415,30
1001379,1001519,50
1001396,1001274,35
1001396,1001370,90
1001396,1001396,160
1001396,1001409,230
1001396,1001519,110
1001409,1001274,30
1001409,1001298,30
1001409,1001370,130
1001409,1001396,40
1001409,1001409,740
1001409,1001415,35
1001409,1001429,85
1001409,1001485,65
1001409,1001519,205
1001409,1001542,35
1001409,4816037,50
1001415,1001409,30
1001415,1001415,40
1001415,1001519,55
1001426,1001409,35
1001446,1001370,30
1001446,1001409,30
1001446,1001519,35
1001461,1001519,105
1001464,1001519,60
1001464,1001542,25
1001485,1001263,20
1001485,1001472,95
1001485,1001485,2485
1001485,1001504,90
1001485,1001509,30
1001485,1001517,340
1001485,1001519,5725
1001485,1001542,1365
1001485,4816037,55
1001504,1001485,40
1001504,1001504,185
1001504,1001509,20
1001504,1001517,70
1001504,1001519,2440
1001504,1001542,255
1001504,4816037,75
1001505,1001505,65
1001505,1001509,25
1001505,1001519,615
1001505,1001542,30
1001507,1001124,20
1001507,1001509,35
1001507,1001519,505
1001507,1001542,30
1001509,1001485,45
1001509,1001509,240
1001509,1001517,40
1001509,1001519,2600
1001509,1001542,200
1001511,1001509,55
1001511,1001511,25
1001511,1001519,880
1001511,1001542,20
1001512,1001519,105
1001517,1001263,30
1001517,1001485,245
1001517,1001509,45
1001517,1001517,805
1001517,1001519,5705
1001517,1001542,1445
1001517,4816037,85
1001519,1001263,55
1001519,1001370,65
1001519,1001472,40
1001519,1001485,340
1001519,1001504,65
1001519,1001505,25
1001519,1001509,140
1001519,1001511,40
1001519,1001517,535
1001519,1001519,39080
1001519,1001542,4160
1001519,1010032,65
1001519,1209034,65
1001519,1301006,35
1001519,3506008,35
1001519,3520005,30
1001519,4816037,140
1001542,1001263,50
1001542,1001472,25
1001542,1001485,105
1001542,1001517,245
1001542,1001519,7690
1001542,1001542,3460
1002001,1002005,20
1002001,1002024,45
1002002,1002005,60
1002002,1002024,95
1002005,1002005,385
1002005,1002024,390
1002005,4816037,35
1002006,1002008,30
1002008,1002005,20
1002008,1002008,230
1002008,1002024,25
1002011,1002005,25
1002011,1002008,30
1002011,1002011,85
1002011,4816037,20
1002013,1002008,30
1002018,1002018,160
1002018,1002019,45
1002019,1002018,80
1002019,1002019,360
1002019,1002024,50
1002022,1002024,90
1002023,1002005,50
1002023,1002024,30
1002024,1001274,55
1002024,1001519,30
1002024,1002005,205
1002024,1002008,40
1002024,1002019,25
1002024,1002024,1160
1002024,1002033,20
1002024,4816037,115
1002025,1002005,30
1002025,1002024,40
1002031,1002005,20
1002031,1002024,45
1002031,1002031,45
1002033,4816037,45
1002034,1002024,40
1002037,1002024,30
1002041,1002041,50
1003003,1003003,70
1003004,1003004,25
1003005,1003005,20
1003008,1003008,435
1003008,1003034,20
1003011,1003011,65
1003018,1003018,75
1003018,1003019,55
1003019,1003018,60
1003019,1003019,245
1003020,1003018,25
1003026,1003026,40
1003028,1003028,230
1003031,1003034,165
1003032,1003032,25
1003032,1003034,50
1003033,1003033,55
1003034,1003034,1125
1003034,1004001,30
1003042,1003034,25
1003801,1003801,255
1004001,1003034,140
1004001,1004001,160
1004011,1004018,45
1004011,1004019,40
1004013,1004013,65
1004013,1004018,35
1004013,1004019,90
1004016,1004019,205
1004018,1004018,205
1004018,1004019,120
1004019,1004013,40
1004019,1004018,35
1004019,1004019,1695
1004019,1005018,100
1004020,1004018,20
1004020,1004019,485
1004021,1004019,65
1004022,1004019,100
1004022,1004022,25
1004022,1004037,55
1004033,1004018,20
1004033,1004019,30
1004033,1004033,50
1004037,1004037,45
1005003,1005003,25
1005003,1005005,30
1005004,1005004,1120
1005004,1005010,30
1005004,1005012,20
1005004,1005018,190
1005004,4816037,50
1005005,1005005,20
1005007,1005004,20
1005008,1005008,40
1005011,1005018,100
1005012,1005004,70
1005012,1005011,30
1005012,1005012,225
1005012,1005015,55
1005012,1005018,640
1005014,1005004,90
1005014,1005014,60
1005014,1005018,45
1005015,1005018,115
1005017,1005015,20
1005017,1005018,530
1005018,1001519,60
1005018,1004019,60
1005018,1005004,50
1005018,1005012,50
1005018,1005015,230
1005018,1005018,6825
1005018,4816037,35
1005022,1005018,155
1005023,1005018,55
1005023,1005023,40
1005024,1005018,45
1005024,1005024,70
1005025,1005018,160
1005030,1005018,510
1006003,1006003,100
1006003,1006009,20
1006003,1006017,65
1006009,1001519,35
1006009,1006009,4575
1006009,1006012,25
1006009,1008011,25
1006011,1006009,160
1006011,1006011,40
1006012,1006009,170
1006012,1006012,25
1006012,1006017,25
1006017,1001519,35
1006017,1006009,70
1006017,1006017,4175
1006017,1006019,95
1006017,1006022,25
1006017,1006028,45
1006017,1008044,45
1006017,4816037,20
1006019,1006017,400
1006019,1006019,245
1006019,1006022,75
1006026,1006009,20
1006026,1006017,90
1006026,1006026,20
1006031,1006028,20
1006031,1006031,70
1007006,1007013,195
1007006,1008020,20
1007009,1007013,260
1007013,1001274,140
1007013,1001519,45
1007013,1007013,1750
1007013,1007031,50
1007028,1007013,20
1007032,1007013,45
1007032,1007031,50
1007036,1007013,50
1007036,1007036,45
1007041,1007042,50
1007042,1007042,65
1007046,1007046,20
1007047,1006009,150
1007047,1007047,225
1007049,1006009,45
1007049,1007049,70
1007050,1001263,20
1007050,1006009,30
1007050,1007050,50
1007050,1007057,20
1007050,1007060,20
1007050,4816037,20
1007054,1007060,45
1007056,1007060,20
1007057,1007049,25
1007057,1007057,50
1007060,1001519,25
1007060,1006009,25
1007060,1007050,30
1007060,1007060,600
1008001,1007060,25
1008004,1007060,65
1008004,1008004,30
1008006,1006009,40
1008006,1007060,50
1008006,1008006,70
1008008,1006009,250
1008008,1008008,125
1008008,1008011,65
1008008,4816037,35
1008011,1006009,35
1008011,1008011,70
1008020,1008021,85
1008021,1008020,20
1008021,1008021,130
1008022,1008021,105
1008022,1008022,20
1008023,1008021,20
1008025,1008021,35
1008031,1006009,30
1008031,1008031,125
1008031,1008032,20
1008031,1008033,60
1008031,1008035,100
1008033,1008033,110
1008037,1008044,30
1008042,1008044,170
1008043,1008044,110
1008044,1006009,35
1008044,1006017,40
1008044,1008044,670
1008045,1008044,45
1008046,1006022,20
1008061,1006017,35
1008061,1008079,20
1008069,1008069,65
1008072,1008072,40
1008075,1008075,45
1008079,1008079,400
1008091,1008079,20
1008095,1008079,25
1009004,1009004,55
1009010,1009010,50
1009012,1009012,55
1009012,1009013,25
1009013,1009012,45
1009013,1009013,160
1009015,1009015,55
1009016,1009016,45
1009017,1009017,20
1009018,1009019,45
1009019,1009019,125
1009019,1009022,25
1009020,1009016,20
1009020,1009020,25
1009021,1009019,30
1009021,1009021,215
1009021,1009022,35
1009021,1009029,95
1009022,1009019,75
1009022,1009022,90
1009026,1009021,20
1009029,1009029,740
1009039,1009029,30
1010005,1010002,25
1010005,1010005,100
1010005,1010034,20
1010008,1010008,35
1010009,1010009,70
1010010,1010010,35
1010011,1010011,80
1010012,1010012,115
1010013,1010013,45
1010022,1010022,60
1010022,1010025,105
1010022,1010802,50
1010022,1011005,20
1010025,1001519,25
1010025,1010022,30
1010025,1010025,3385
1010025,1010802,125
1010025,1011005,105
1010032,1010032,3230
1010032,1010034,780
1010801,1010801,250
1010802,1010025,20
1010802,1010802,225
1011010,1011010,75
1011015,1011015,50
1011020,1011020,85
1011030,1011030,105
1011035,1011035,310
1101008,1101018,90
1101008,1102075,55
1101009,1101018,285
1101009,1102075,70
1101011,1102075,25
1101018,1101018,435
1101018,1102075,30
1101021,1101018,25
1101021,1101021,20
1101021,1102075,35
1101024,1101018,70
1101024,1102075,30
1101026,1101018,40
1101026,1102075,35
1101029,1101036,55
1101029,1102075,30
1101031,1002018,50
1101031,1101036,135
1101031,1102075,20
1101032,1101036,210
1101036,1101036,230
1101041,1101036,25
1101042,1101021,20
1101042,1101048,20
1101042,1102075,80
1101044,1101048,25
1101044,1102075,30
1101046,1101048,60
1101046,1102075,40
1101048,1101048,60
1101048,1102075,30
1101049,1101048,65
1101049,1102075,75
1101051,1102075,90
1102001,1101018,60
1102001,1102075,65
1102004,1102075,80
1102006,1101018,80
1102006,1102075,45
1102009,1101018,35
1102009,1102009,25
1102009,1102075,210
1102012,1101018,20
1102012,1102009,20
1102012,1102075,225
1102012,1102080,25
1102026,1102026,95
1102026,1102075,430
1102026,1102085,55
1102028,1102075,695
1102028,1102080,20
1102028,1102085,80
1102028,1103025,35
1102029,1102034,30
1102029,1102075,165
1102029,1103005,20
1102029,1103025,25
1102031,1102075,125
1102031,1103025,30
1102033,1102075,60
1102034,1102034,30
1102036,1102043,25
1102036,1102075,75
1102036,1103014,55
1102036,1103025,20
1102037,1102075,175
1102038,1102075,30
1102038,1103014,75
1102038,1103025,80
1102039,1102075,65
1102039,1103014,40
1102039,1103025,45
1102040,1102040,60
1102040,1102075,345
1102041,1102043,50
1102041,1102075,85
1102041,1103025,40
1102042,1102043,50
1102042,1102075,205
1102043,1102075,55
1102048,1102075,145
1102050,1102075,25
1102058,1102075,180
1102059,1102059,20
1102059,1102075,95
1102065,1102075,100
1102075,1101018,100
1102075,1102040,20
1102075,1102048,70
1102075,1102049,20
1102075,1102052,40
1102075,1102075,13660
1102075,1102080,320
1102075,1102085,165
1102075,1103005,55
1102075,1103019,35
1102075,1103025,225
1102080,1101018,75
1102080,1102075,3145
1102080,1102080,445
1102080,1103025,20
1102085,1102026,25
1102085,1102037,25
1102085,1102075,1825
1102085,1102080,65
1102085,1102085,140
1102085,1103025,25
1103001,1102034,25
1103001,1102075,55
1103001,1103001,20
1103001,1103005,50
1103001,1103025,70
1103005,1102075,25
1103005,1103005,95
1103005,1103006,20
1103005,1103025,50
1103006,1102075,45
1103006,1103005,35
1103006,1103006,40
1103006,1103008,35
1103006,1103019,25
1103006,1103025,155
1103008,1102075,30
1103008,1103008,20
1103008,1103025,45
1103009,1102075,25
1103009,1103014,45
1103009,1103025,175
1103010,1103025,25
1103011,1102075,30
1103011,1103014,20
1103011,1103025,260
1103013,1103025,20
1103014,1102075,20
1103014,1103012,95
1103014,1103014,245
1103014,1103025,165
1103016,1102075,55
1103016,1103012,25
1103016,1103014,110
1103016,1103016,30
1103016,1103025,165
1103018,1103025,35
1103019,1103024,25
1103019,1103025,170
1103023,1103025,50
1103025,1102075,195
1103025,1103005,120
1103025,1103006,50
1103025,1103008,30
1103025,1103009,25
1103025,1103012,190
1103025,1103013,60
1103025,1103014,85
1103025,1103019,205
1103025,1103024,45
1103025,1103025,4320
1103025,1103026,30
1103025,4816037,35
1103026,1103019,55
1103026,1103025,165
1103026,1103027,20
1103028,1103025,120
1103029,1103025,40
1103031,1103019,25
1103031,1103025,130
1103034,1103025,40
1103034,1103034,35
1103035,1103034,50
1103042,1103025,20
1103042,1103059,65
1103049,1103051,30
1103051,1103025,35
1103051,1103051,75
1103051,1103059,95
1103054,1103051,25
1103054,1103059,65
1103056,1103051,25
1103056,1103059,250
1103059,1103059,90
1201001,1201008,680
1201001,1202001,70
1201001,1202004,50
1201001,1202006,90
1201008,1201008,395
1202001,1201008,55
1202001,1202001,940
1202001,1202004,130
1202001,1202006,1310
1202001,1203001,20
1202001,1203004,25
1202004,1202001,170
1202004,1202004,390
1202004,1202006,2670
1202004,1203001,70
1202004,1203006,45
1202006,1202001,65
1202006,1202004,130
1202006,1202006,1955
1202040,1202006,20
1203001,1202004,30
1203001,1202006,395
1203001,1203001,1815
1203001,1203004,200
1203001,1203006,295
1203001,1209034,35
1203004,1202006,30
1203004,1203001,185
1203004,1203004,515
1203004,1203006,1080
1203004,1205004,70
1203004,1205008,75
1203004,1207001,25
1203004,1209034,55
1203006,1203001,20
1203006,1203004,25
1203006,1203006,510
1203009,1203004,20
1204010,1201008,35
1204010,1204010,2370
1204010,1205001,35
1204010,1206001,65
1204010,1206004,450
1204010,1206006,35
1204010,1209034,130
1204010,1218006,60
1205001,1203004,20
1205001,1205008,45
1205001,1205012,40
1205001,1205016,130
1205001,1206004,30
1205001,1207001,310
1205001,1207004,45
1205001,1207012,30
1205004,1203004,40
1205004,1203006,225
1205004,1205004,390
1205004,1205008,385
1205004,1205009,25
1205004,1205012,60
1205004,1205016,105
1205004,1207001,75
1205008,1205008,60
1205009,1205004,55
1205009,1205008,75
1205009,1205009,95
1205009,1205012,320
1205009,1205016,180
1205009,1207001,140
1205009,1207012,20
1205009,1209034,45
1205014,1205001,20
1205014,1205009,25
1205014,1205012,20
1205014,1205016,605
1205014,1207001,780
1205014,1207004,25
1205014,1207011,20
1205014,1207012,80
1205016,1205009,30
1205016,1205016,350
1205016,1207001,190
1206001,1204010,140
1206001,1206001,1765
1206001,1206004,4160
1206001,1206006,1450
1206001,1206008,320
1206001,1206009,225
1206001,1209034,515
1206004,1204010,85
1206004,1206001,330
1206004,1206004,1970
1206004,1206006,250
1206004,1206008,35
1206004,1206009,60
1206004,1209034,70
1206006,1206001,35
1206006,1206004,140
