RES,POW,TotalFlow
1002018,1002019,95
1002019,1002008,20
1002019,1002018,60
1002019,1002019,395
1002019,1002024,40
1002021,1002005,25
1002021,1002021,20
1002021,1002024,25
1002022,1002024,35
1002023,1002005,25
1002023,1002024,85
1002024,1001259,45
1002024,1001263,65
1002024,1001519,50
1002024,1002005,210
1002024,1002019,20
1002024,1002024,1080
1002024,4816037,45
1002025,1002005,45
1002025,1002024,35
1002027,1002041,25
1002031,1002005,20
1002031,1002024,30
1002031,1002031,30
1002036,1002036,25
1002041,1001259,20
1002048,1007013,35
1003002,1003002,25
1003003,1003003,80
1003004,1003004,40
1003008,1003008,375
1003011,1003011,75
1003014,1003014,30
1003014,1003019,20
1003018,1003018,90
1003018,1003019,30
1003018,1003020,35
1003019,1003018,35
1003019,1003019,255
1003026,1003026,45
1003028,1003028,210
1003031,1003034,140
1003031,1004001,20
1003032,1003034,90
1003033,1003033,20
1003033,1003034,35
1003033,1004001,25
1003034,1003033,20
1003034,1003034,945
1003034,1004001,45
1003034,4816037,25
1003801,1003801,195
1004001,1003034,130
1004001,1004001,170
1004006,1004006,115
1004011,1004019,40
1004013,1004013,75
1004013,1004018,25
1004013,1004019,100
1004016,1004019,155
1004018,1004018,170
1004018,1004019,120
1004019,1004013,35
1004019,1004016,25
1004019,1004018,70
1004019,1004019,1590
1004019,1004037,25
1004019,1005018,50
1004019,4816037,40
1004020,1004013,20
1004020,1004019,570
1004020,1004020,20
1004021,1004019,100
1004022,1004016,45
1004022,1004018,20
1004022,1004019,125
1004022,1004022,60
1004022,1004037,25
1004033,1004019,35
1004033,1004033,70
1004037,1004019,25
1004037,1004037,35
1004042,1004016,20
1004042,1004019,50
1005001,1005004,35
1005001,1005018,20
1005003,1005003,25
1005004,1005004,1140
1005004,1005012,25
1005004,1005018,185
1005004,4816037,40
1005006,1005004,20
1005006,1005006,40
1005008,1005008,50
1005009,1005004,120
1005009,1005018,35
1005010,1005012,25
1005010,1005018,245
1005011,1005018,175
1005012,1005004,80
1005012,1005010,20
1005012,1005012,245
1005012,1005015,20
1005012,1005018,610
1005012,4816037,25
1005014,1005004,100
1005014,1005014,40
1005015,1005018,95
1005016,1005018,70
1005017,1005012,20
1005017,1005017,25
1005017,1005018,680
1005017,4816037,30
1005018,1001259,20
1005018,1001519,75
1005018,1004019,40
1005018,1005004,60
1005018,1005010,30
1005018,1005012,40
1005018,1005015,70
1005018,1005018,6440
1005018,1005030,100
1005018,1010020,30
1005018,4816037,45
1005020,1005018,320
1005020,1005020,140
1005022,1005018,135
1005023,1005018,70
1005023,1005023,50
1005024,1005018,55
1005024,1005024,35
1005025,1005018,140
1005025,1005030,25
